k	min_rek	min_srk	min_gerk_ad	min_gerk_bd	max_rek	max_srk	max_gerk_ad	max_gerk_bd	median_rek	median_srk	median_gerk_ad	median_gerk_bd	quant25_rek	quant25_srk	quant25_gerk_ad	quant25_gerk_bd	quant75_rek	quant75_srk	quant75_gerk_ad	quant75_gerk_bd
6401	1.66295879533543	2.13804478299733	2.19723526776458	2.44449302671937	2.79970022902679	4.07743814263411	4.01898220663281	4.33482420037347	2.11505574941118	2.89420194809134	2.88764135445025	3.17883302682019	2.01600433210017	2.64024122055808	2.65869058853138	2.90723190795687	2.3226415818821	3.1379781362818	3.0854938727264	3.39465794789327
6801	1.69342844593942	2.12093399959187	2.16358135685347	2.43689739798218	2.73670332769272	4.02470789585671	3.96675116540602	4.32936638197777	2.12013914949642	2.84635363818664	2.84458126873225	3.17659989778803	2.0146131173702	2.65632782054031	2.6352252583377	2.90723190795687	2.30719689371185	3.11352976734795	3.0756123955307	3.39546473477202
7201	1.62377551676983	2.15857834506702	2.14748399693508	2.42454399633657	2.77206160207068	3.97073177872386	3.90469939251219	4.31936300817826	2.11841037293469	2.84565723603159	2.83196013502518	3.16999898516889	2.00522425921224	2.63439113695776	2.62782292681255	2.90723190795687	2.31633493136238	3.05428851683687	3.04960503144529	3.40036354555429
7601	1.6675292379566	2.14925148760222	2.14231719655221	2.41764333975398	2.74066448249928	3.9411052189436	3.93032366698929	4.28547131805051	2.1205029817477	2.82754936975739	2.81133700421273	3.16521909828341	1.99287071693712	2.6230002519037	2.60656902813212	2.90064763631784	2.28835626655962	3.04656574702051	3.02759495908459	3.39752956411243
8001	1.65648079077913	2.11719570320135	2.11471028057095	2.41965875519996	2.75132989341391	3.90820354565848	3.88361352014287	4.25162294108133	2.09421916938604	2.82794958981748	2.77062098138548	3.1573363502616	1.98843506459973	2.60485826823897	2.5913581180841	2.89453459502568	2.30689429243883	3.09498554791541	3.01870185455805	3.38438087956294
8401	1.67007707242848	2.16554624160895	2.11591354540679	2.41659649185427	2.72352971709832	3.90054466234341	3.85576007855393	4.18502885193741	2.10375471258169	2.78975516213842	2.76497300239205	3.15324733298813	1.98539370534463	2.61154777017137	2.57984154293871	2.88627947808458	2.286406728344	3.04755773570089	3.00750765987874	3.36130237504778
8801	1.64181959391738	2.10891388764407	2.08303263857029	2.4080151939317	2.74826849420374	4.01897271307658	3.82821199710428	4.17290330236392	2.10470012750771	2.82652896949099	2.75585866410117	3.13666625937757	1.97960269772408	2.60239565562579	2.57220878042381	2.88215191066368	2.28688512646554	3.00633413374365	2.98566988283015	3.36052132489706
9201	1.62027464644188	2.0925253311997	2.07874733482479	2.41073439957765	2.72386733817972	3.88504328523636	3.77488973524013	4.162587201817	2.09391864452622	2.8071481783984	2.74597254032628	3.1145483786355	1.97063776237273	2.60754580270917	2.55992583454728	2.87705484912977	2.28993306329542	3.03270286528997	3.00192549329399	3.32711278094154
9601	1.62910652866949	2.10046520546206	2.0629382000963	2.41056179437144	2.70236041706356	3.7682181236872	3.75307159057488	4.16808871392269	2.09151105738514	2.79331490143577	2.72702775445646	3.09704458664925	1.96768918389618	2.54866780594357	2.53134696205563	2.86067006973021	2.30065631615174	2.96016259483367	2.95469003115205	3.30873471078448
10001	1.61756243670691	2.07163964254719	2.06865783154301	2.41479565571178	2.69300354916255	3.88266301094757	3.71980664127453	4.14027269524482	2.08511709215485	2.76024682941273	2.71532741301976	3.08999873198115	1.94973449320562	2.56484962271849	2.52551524379708	2.84963294253546	2.28865909592444	3.01719526988359	2.97901054059166	3.30447032470619
10401	1.63221728340252	2.06735559976576	2.05611231782037	2.41303334501245	2.72590657517145	3.83871618225847	3.68946235079482	4.15816692366637	2.05760353086753	2.72467899592088	2.70154418620938	3.07704564709814	1.95388612398566	2.56949566506093	2.50712946680409	2.84096472554278	2.27405255532699	3.00411157387566	2.93883670163361	3.28185722606812
10801	1.63596706492778	2.04733502466655	2.05263566238712	2.40771471642329	2.68835939028772	3.67307655497448	3.67285344999191	4.16242780174862	2.07061319924588	2.73087459191499	2.69457127889814	3.07152376697811	1.95098762888731	2.5367833708171	2.50612139439796	2.82515889970009	2.26976685361408	2.98850397938898	2.91492295194303	3.26160101374666
11201	1.6009679580192	2.06648719359545	2.02957765440553	2.38924730939187	2.72150182857908	3.81738068424492	3.77196377247805	4.15889369013207	2.06542602036934	2.71712768581991	2.69817412397879	3.05073413518562	1.95759921472268	2.52558418609078	2.49471826023555	2.82695683391746	2.27796236204402	3.02209851693365	2.9198429167181	3.25092368056476
11601	1.61278052539603	2.11277304550645	2.03001050964201	2.37494426526987	2.68726507773756	3.78929315199506	3.6687850464058	4.12487430821822	2.06403342537014	2.70481260745244	2.67815075010114	3.02311371127681	1.96110294411837	2.55187713781102	2.48902808948823	2.79222802185846	2.262232594368	2.94991360779898	2.91276104100199	3.22971035369187
12001	1.61345347969546	2.05315159917957	2.024900663227	2.37491319499972	2.68033572640689	3.65921914908254	3.65298369978309	4.08791124499958	2.07258626355379	2.72591452166335	2.64534526859422	2.99024299952775	1.96298346950604	2.52024462351968	2.46928845765201	2.78289397276476	2.25042200069214	2.95626858973631	2.87801574238035	3.2212066646181
