k	min_rek	min_srk	min_gerk_ad	min_gerk_bd	max_rek	max_srk	max_gerk_ad	max_gerk_bd	median_rek	median_srk	median_gerk_ad	median_gerk_bd	quant25_rek	quant25_srk	quant25_gerk_ad	quant25_gerk_bd	quant75_rek	quant75_srk	quant75_gerk_ad	quant75_gerk_bd
4001	0.804413825220451	0.450804675040733	0.445417300332752	1	1.19513186920313	0.871865246978253	0.7426330763274	1	0.952501263512863	0.640295568153342	0.561480097596594	1	0.893152275973669	0.554866528563485	0.534036225281706	1	1.00321117362813	0.739552814465065	0.602892381412754	1
4401	0.810245408524777	0.404277615614669	0.443635864615678	1	1.19487092552302	1.08975127467114	0.830626218186069	1	0.945127167756344	0.651638810792618	0.57344788225085	1	0.907612561671586	0.582524840175688	0.543245016009009	1	1.00685172113643	0.73144885469394	0.62308363574121	1
4801	0.834397525528861	0.416001088262587	0.434585185013618	1	1.21027241840763	1.28684038767522	0.766483608247683	1	0.945939854380105	0.672399072833982	0.589123130513814	1	0.90085841340983	0.619609814685225	0.540807863247832	1	1.01691115773737	0.755003148020163	0.655361672662375	1
5201	0.817120613751437	0.531414310264935	0.451365428798072	1	1.20466231254455	1.29311704321318	0.914694758873471	1	0.955816543852026	0.717656434111033	0.609219271417397	1	0.906604624788125	0.647174354787275	0.571332429126671	1	1.02183855336498	0.866049577728497	0.664498936568562	1
5601	0.826052753858528	0.460670379240694	0.447685447236412	1	1.20767527006381	1.33577969118196	0.880885532592013	1	0.960682889208083	0.753467780307192	0.628754223583622	1	0.914161584575691	0.652421394685845	0.58222679434631	1	1.02387404195812	0.855541264494207	0.692603812871474	1
6001	0.825878243709911	0.48616136490444	0.471583281786494	0.929304289605539	1.22428461949153	1.31444569891236	0.854338600233288	1	0.953384531964624	0.748523992323376	0.659818580344036	1	0.918295368100148	0.658787375890495	0.607356582673328	1	1.02706295402693	0.827046065615576	0.700878115238899	1
6401	0.828299422402208	0.507551367772932	0.506731550570857	0.89509785439524	1.24107039760968	1.53904642187334	0.957709939991448	1	0.965105460871746	0.777233314542512	0.6971922034209	1	0.924253517986024	0.655684334116173	0.647114014089912	1	1.03184003975421	0.854663949701006	0.753385902287437	1
6801	0.83118517194203	0.556257691798813	0.530460764395898	0.869461090246568	1.2206445546112	1.198042939564	0.911690132931135	1	0.960247264102381	0.786401672302588	0.706079383881064	1	0.920162695653107	0.714531241406465	0.649290574748224	0.956521143613281	1.03589401091406	0.887030821068262	0.746439003257666	1
7201	0.842520635916859	0.535790907121254	0.539638918750244	0.83496113017613	1.24159062393785	1.2628205961678	0.972264774645712	1	0.972184228644117	0.844804474135144	0.727653991535635	0.97024306832076	0.919146260966597	0.687830633818539	0.659928504927757	0.928437564223787	1.03513681592602	0.951202168731766	0.791274753493172	1
7601	0.842828939158878	0.463896917574974	0.546730019004944	0.804487844735088	1.23200791629595	1.24779020911952	0.944969822806546	1	0.974784725686835	0.796470356930763	0.747323303714868	0.928557063554982	0.92423883401576	0.707816268324552	0.657034621533586	0.883667492529051	1.036673556727	0.905467523823462	0.790883732632446	0.961958412920575
8001	0.851136826155033	0.611950566648429	0.542455565813106	0.738837634008202	1.23786282900336	1.29974538754564	1.07657173330801	0.995198068610772	0.973526549324434	0.818207854885269	0.752174054121846	0.886535815730325	0.923243658832694	0.730445293365801	0.685776601037137	0.844275496964142	1.03676544341663	0.88593481190421	0.813354543279382	0.931637629638157
