k	min_rek	min_srk	min_gerk_ad	max_rek	max_srk	max_gerk_ad	median_rek	median_srk	median_gerk_ad	quant25_rek	quant25_srk	quant25_gerk_ad	quant75_rek	quant75_srk	quant75_gerk_ad
1301	0.196363327864908	0.683787313529833	0.561548343565589	0.253490293980384	1.14661894280344	0.975723078989524	0.223505878799864	0.865588574904862	0.857688156455017	0.212493412284914	0.802281296845113	0.817283712562515	0.2304984297501	0.943412714697397	0.90251715463889
1401	0.185485040158638	0.657988282757201	0.514399419089704	0.239738901755254	1.14609582198627	0.944480271161159	0.210442449622136	0.878870666870174	0.819519602932729	0.198673324935946	0.814278564132529	0.768857591927361	0.220134441488015	0.935790935478132	0.869350282616825
1501	0.176356680087031	0.640767848651941	0.480480557910573	0.234402520076204	1.1208989923702	0.919765078664197	0.200576818995359	0.886469288433336	0.772634923975146	0.189608538285301	0.842611414747969	0.704598109196869	0.208486618017715	0.956654748444245	0.823698189111878
1601	0.167181091559362	0.680756728436294	0.446081986782842	0.229669059404818	1.30184876598333	0.869926385304582	0.189294691245499	0.890588306275655	0.723020401368456	0.180587108067873	0.821422508285218	0.66306762444611	0.198360981102338	0.958525247492834	0.788311241069891
1701	0.157911616650222	0.667826076760001	0.419929442341677	0.215169855360856	1.333399433631	0.82251573610598	0.18118385102974	0.904003355763519	0.670947969541301	0.168678673323602	0.848522059146269	0.609354683947915	0.187027781857717	0.975666245117016	0.74088586837796
1801	0.147282266674642	0.719846376920074	0.391580657531023	0.205563217551734	1.35636449372646	0.816184482057202	0.17074789456619	0.96413989962401	0.627121900588241	0.163088130492008	0.866114403387868	0.566032435850176	0.179610127549018	1.02613517985131	0.702954706019637
1901	0.139586851774881	0.694212270235315	0.356496232946799	0.201565638229994	1.3383793872891	0.813991014788767	0.16401739840991	0.971319139108641	0.588404272500368	0.154842855275902	0.886939850068437	0.529467762594587	0.172037893401873	1.03018197701034	0.660441114093944
2001	0.133708551163504	0.68558011818208	0.334419148304757	0.192652922981704	1.25831458963165	0.809175040370923	0.157146074194181	0.952224819551492	0.553318953336134	0.150035398386416	0.884812237536959	0.500030365200182	0.164733308568841	1.04682533752257	0.622025349999675
2101	0.129544208492003	0.717732659089747	0.316361670182232	0.184973917923826	1.22521892956819	0.785419034995375	0.152238881508913	0.9931464980856	0.520501397522357	0.144254011336826	0.89565973601303	0.469204669941985	0.158862745673942	1.07129935589456	0.586288608843784
2201	0.123772250110305	0.755477305530267	0.305616427327985	0.179251029193756	1.22056771309587	0.729194857743084	0.144895529742868	0.984441177547637	0.484684077231248	0.138387615322493	0.917581613754482	0.44346562679866	0.152940996509124	1.0967165376421	0.551333949667106
2301	0.118523876577256	0.645206049216563	0.277037312012286	0.175539719816206	1.37102338763112	0.69372062171129	0.140724368786853	0.993134812245629	0.4504727734033	0.133360473351177	0.91011980167065	0.406092706693759	0.148286445658705	1.11688609144465	0.512957816935777
2401	0.113626088651214	0.647655882117819	0.255617212009919	0.16956079774779	1.33599790769042	0.674285026350876	0.13549489287253	1.00638848014236	0.426366281738041	0.131199452939506	0.897400706040997	0.376727819768013	0.141911089982298	1.10962691993815	0.479085653531439
