k	min_rek	min_srk	min_gerk_ad	max_rek	max_srk	max_gerk_ad	median_rek	median_srk	median_gerk_ad	quant25_rek	quant25_srk	quant25_gerk_ad	quant75_rek	quant75_srk	quant75_gerk_ad
1601	0.757680366530621	0.708620149667605	0.524697838659847	0.836826921616418	1.22512374161984	0.895538973053649	0.798050851637542	0.944107922408465	0.745478648452974	0.787337639975359	0.873392447766763	0.70376061833392	0.808471107658263	0.990679325531386	0.819629331436318
1701	0.754293746449581	0.735389897875885	0.500348433279352	0.834079518581077	1.30764574578372	0.865866645058042	0.795683321150866	0.947212469160432	0.712000023240257	0.784457988497654	0.909950073703661	0.666295274058182	0.805238699211519	1.0220299162145	0.779285233255407
1801	0.751168693813784	0.783063789921291	0.474131445172086	0.83227780060991	1.31967893920811	0.861161673660998	0.793290514517484	0.989105114534834	0.67512409265731	0.781729075914462	0.913967586095063	0.624708232923292	0.802681126521657	1.01839334318244	0.74396371198333
1901	0.749236895359237	0.768468040409857	0.438558950183372	0.82990910514537	1.21612029610524	0.859745203105333	0.790664385002649	0.985679543759308	0.637572461875925	0.779445434656735	0.922637705234863	0.589645535132235	0.800493559550328	1.02344656235207	0.698756753651418
2001	0.747643451878191	0.77166256516153	0.399840995434528	0.827844363070909	1.13469884678257	0.855886091282274	0.788553842877386	0.979514100580761	0.600170475444216	0.777285692203784	0.88574327310565	0.55507364618241	0.798350430508693	1.03940273739183	0.665689050740966
2101	0.745910857230112	0.723344346800602	0.361007627306901	0.825797173913505	1.1945130580396	0.834205117773583	0.786192447918078	0.985160716111722	0.566626071603997	0.775185713865043	0.910698507587329	0.513663466042885	0.796583919603961	1.05325776313849	0.626057686864176
2201	0.743691545455256	0.793836935900461	0.340489870719314	0.824308626938893	1.20058814494964	0.784782867357192	0.783486149171542	0.971911240829767	0.533573308144018	0.773263113403225	0.923157550149262	0.477233763123488	0.794781166642108	1.05744530580646	0.601502244772879
2301	0.742217191200285	0.707013479225398	0.314105524684863	0.823102646907465	1.20710456601091	0.753664777463686	0.781420286426022	0.971997806142406	0.509282126815714	0.771225579581143	0.915068296092037	0.447374765715157	0.793207497178571	1.07148443039142	0.56885946873835
2401	0.740813697452273	0.724779245097367	0.29682038138144	0.821753342201824	1.21393676807586	0.73559424201653	0.779316530668526	1.00476322378192	0.485401537653179	0.76915873241169	0.901235108777301	0.426391828163536	0.791933898368411	1.06132864111231	0.532614985633078
2501	0.739498269307639	0.739274834873689	0.285948446797966	0.820593858625711	1.21315363633075	0.705239579722334	0.777152170518965	0.977540678257516	0.461089564865832	0.767398942989304	0.921168398412993	0.400982573866252	0.790303798923327	1.05804865403009	0.516764997918367
2601	0.738060593643927	0.75999633486258	0.276980898001539	0.819696928485699	1.27033245628952	0.683467808733522	0.775523872005072	0.990147682142631	0.440961115257463	0.765949659300922	0.924981448761593	0.378720027698918	0.788606427344924	1.06728771610767	0.494517472970138
2701	0.736718982289823	0.669396782959767	0.270372952988222	0.818346230145259	1.27828067781184	0.663610394128429	0.774164033877425	0.999670272980288	0.416740350352738	0.764482144995309	0.922398165332414	0.360834366446758	0.787442080359278	1.1038590936795	0.472050880620948
