i	xhat	x_rek	x_srk	x_gerk_ad
105	0	0.127126327948325	-0	0
106	0	-0.0196786420198499	-0	0
107	0	0.000260168472659854	-0	-0
108	0	0.19910153383073	0	0
109	0	-0.0312379986308332	0	0
110	0	-0.0352066810899186	-0	-0
111	0	-0.132593808828603	0	-0
112	0	-0.00989720811117103	-0	-0
113	0	0.0825587235208628	-0	-0
114	0	0.198317512526786	1.3920170078648	0
115	0	0.0907726553859069	-0	-0
116	0	-0.112632738961835	0	-0
117	0	0.0299452718470762	0.557486477613025	0
118	0	-0.0398392425325634	-0	0
119	0	0.109562431559445	-0	0
120	0	-0.0191169532927929	0	0
121	0	0.0250774810326415	-0	0
122	0	-0.0557131265289743	0	-0
123	0	-0.052331041641456	0	0
124	0	0.0954728575146912	0	0
125	0	0.110981238767289	-0	-0
126	0	-0.0798114574365337	-0	-0
127	0	0.0323143169740094	0	0
128	0	0.0200164364361102	-0	0
129	0	-0.0158331640521278	0	0
130	0	-0.0416564928529093	0	-0
131	0	-0.0640251412101316	-0	-0
132	0	-0.0151931410917811	-0	-0
133	0	-0.067745347417653	-0	-0
134	0	0.0247678879393606	-0	0
135	0	-0.0688013059491135	-0	-0
136	0	0.148050803759399	0.640587914845824	0
137	0	-0.0923052573881746	-0	-0
138	0	0.140219017995241	0	-0
139	0	-0.0145926211990121	0	-0
140	0	0.0525633124842231	0	0
141	0	-0.235374632354657	-0	-0
142	0	0.116773571988026	-0	0
143	0	0.121524999432033	-0	0
144	0	-0.0420857988691538	-0	-0
145	0	0.0498747214901716	-0.734203650124098	0
146	0	-0.0130181875525745	-0.986390573194425	-0
147	0	0.0821696152956285	0	0
148	0	-0.113404992458793	-0	0
149	0	0.0161379182724087	0	0
150	0	-0.0184792092668718	-0	0
151	0	0.0275040731533609	-0.508489878102689	0
152	0	-0.0212872401929487	-0	0
153	0	0.000713031667061287	0	-0
154	0	0.0574996662967734	0	0
155	0	-0.0962959291619636	-0	-0
156	0	-0.0387788916134557	0.455578805424897	0
157	0	0.133760049749757	0	0
158	0	-0.0854574810063167	-0	-0
159	0	-0.0125862905547867	0	0
160	0	-0.0176903214722288	0.3561507539285	-0
161	0	0.0131681421318278	-0	-0
162	0	-0.0641130274618531	-0	0
163	0	0.0798282504279055	0	-0
164	0	-0.0142875368989453	0	0
165	0	0.137213517770104	-0	0
166	0	0.0913882266498913	0	0
167	0	-0.0354324520653566	0	0
168	0	0.0238562213321351	0	0
169	0	0.0849317756661259	0	0
170	0	0.0457311225460774	1.84998380693965	0
171	0	-0.0654369097746124	-0	-0
172	0.999679520579276	0.36576468183534	1.13947240495734	0.999881138677655
173	0	0.104765860530255	0	0
174	0	0.102711481196223	0	0
175	0	0.0653073847732943	-0	0
176	0	0.0161020430541671	0	0
