k	min_rek	min_srk	min_gerk_ad	min_gerk_bd	max_rek	max_srk	max_gerk_ad	max_gerk_bd	median_rek	median_srk	median_gerk_ad	median_gerk_bd	quant25_rek	quant25_srk	quant25_gerk_ad	quant25_gerk_bd	quant75_rek	quant75_srk	quant75_gerk_ad	quant75_gerk_bd
6801	1.29469615262398	0.688614241752051	0.62304547274563	0.732471853704853	1.71570956327462	1.81890843711891	1.22440833964423	1	1.506795814707	1.08216474674249	0.935779151894395	1	1.44883487326745	0.954592846684746	0.862976891279374	0.945424126227639	1.59814767254995	1.27720632501444	1.0136909395924	1
7201	1.30656481306051	0.662284081521036	0.58396012786538	0.684400341357343	1.74075342844179	1.78810977164856	1.28419350198285	1	1.52637244111539	1.16288655684465	0.960515334704752	0.939617193350078	1.46019763053687	0.952922142592905	0.861624817773286	0.914969828437464	1.61407415453629	1.2334086958862	1.03072083364086	0.998904657176434
7601	1.32644750558774	0.621949980788242	0.642746661302362	0.665129724008146	1.75912006076703	1.83930908136561	1.31677090731559	1	1.53800919340109	1.13060313020971	0.971745041463951	0.906272964150032	1.47211635698966	0.956240134506982	0.868089340979875	0.840697128399142	1.61967281558457	1.21347444923514	1.03691035043617	0.953120257132641
8001	1.33147393058605	0.639233431673049	0.64147575423574	0.632407095501739	1.7872468475006	1.93463581489037	1.30880546446105	1	1.55328207855053	1.13265484209318	0.97712192271098	0.853968724582425	1.47854404565623	0.998314607442155	0.871045777441295	0.807555535097678	1.63423600043978	1.31191937861157	1.07343055606311	0.904709942484237
8401	1.34834144909939	0.719686922584928	0.655897050264352	0.588208968837532	1.81783458366319	1.72162923726137	1.30009013500668	0.966120152042173	1.568112930423	1.11181239202691	1.00544731931258	0.815347235549321	1.48885481863771	0.986667128707204	0.905138278970345	0.757077041736975	1.65987239746674	1.26664013170501	1.07536537621838	0.872088697707404
8801	1.34674615624072	0.754578586499931	0.700358028126535	0.579580171016154	1.84068231117027	1.85551414519277	1.31030953286371	0.91852075948431	1.58719356874937	1.13515232268975	1.00447727042844	0.785414161464038	1.50922190829155	0.999473336679738	0.919804717747945	0.727059137686342	1.66855073184164	1.36184838730672	1.0859086535315	0.832169066569708
9201	1.36010143579296	0.816448872112799	0.70826507593282	0.572936695840155	1.85434669233267	1.60944921806595	1.34550216594579	0.883319987876178	1.60205031663777	1.14130083732258	1.02312621988952	0.74168346383705	1.51829977987688	1.04616676447842	0.939007260735983	0.694048492655902	1.6862816445564	1.34983424144108	1.11036879905646	0.780040983040668
9601	1.37258887663328	0.813715554486506	0.729021066805749	0.547573874146645	1.86610673799795	1.86082616753248	1.38518780820919	0.875661846200972	1.61656909124474	1.2205318780525	1.03803575359565	0.690881871298145	1.5306087136959	1.05598019127053	0.943417398796977	0.657223251256391	1.70256226704093	1.32892883725559	1.10547679344329	0.756879330955682
10001	1.37882807596761	0.833192187236635	0.753012875029285	0.493132196524886	1.88195762771337	2.42743167007611	1.41265322338025	0.85796981342951	1.63080543836942	1.21993116433891	1.04768455276746	0.669397406757065	1.54344095100066	1.09989811715932	0.935701021702882	0.615069782359667	1.70840666583565	1.4183413122526	1.12715998653927	0.734029141143948
10401	1.38578210716	0.872319310054019	0.79105808041985	0.477347829731405	1.88996211351994	1.62158553465471	1.39784101634717	0.835330285503126	1.64109283821649	1.21560887017866	1.06154433805271	0.645285576499707	1.55868815029242	1.12447799726981	0.961296936782465	0.589819855827639	1.72402091826408	1.45317589672822	1.13938045491592	0.708731684031732
10801	1.39232596496566	0.747982135144526	0.794765718981679	0.472222888006754	1.9050278484947	1.78725613278353	1.41700088007293	0.823212196608637	1.65366272333351	1.17212177902509	1.08568544084998	0.622563045570255	1.57032689360225	1.06157955158825	0.976599774485956	0.556965316797508	1.74080265022949	1.33957274946552	1.1475376842524	0.679966669042156
11201	1.39937430880349	0.763088781103937	0.799893111680148	0.452955431983934	1.91105566469302	1.81863446955776	1.42605186939596	0.796218466283236	1.66373402232724	1.22765290718673	1.0863539669678	0.603103100089747	1.57907376264393	1.13086626428367	0.996824224447185	0.537657799995692	1.75762756629346	1.34111610954253	1.17585446252233	0.638977203401069
11601	1.40443706676476	0.721233617705725	0.818130898895799	0.424185128531979	1.92298463854027	2.19362514655691	1.47301127326306	0.765105709315921	1.6787089134528	1.25811278494129	1.10198424607364	0.572486577600527	1.59509204546245	1.16728790856543	1.00149272084375	0.522145809847554	1.76153678105608	1.4315553888845	1.18223501648806	0.618419737323111
