i	xhat	x_rek	x_srk	x_gerk_ad	x_gerk_bd
140	0	-0.923023785707722	-0	-0	-0
141	0	-0.7656584612581	-0	-0.119667255138815	-0
142	0	0.69299859439271	0	0	0
143	0	0.168022892342344	0	0	0
144	0	0.10924621499508	-0	-0.204467823008523	-0
145	0	1.81541742604037	1.98706323883776	1.27600992606337	-0
146	0	0.00330755476328667	-0	-0	-0
147	0	-0.0195284482594184	0	0	0
148	0	-0.584049014206454	-0	-0.271909420875749	-0
149	0	-0.93760220228354	-0.46963220846072	-0.461841259603103	0
150	0	-0.422269411865348	0	0	0
151	0	0.73461053315818	0.61843014952589	0.696127641492009	0
152	0	0.941840828841639	0	0	0
153	0	0.326503641078755	-0	-0	-0
154	0	-0.0939206384934514	0	0.351137066405521	0
155	0	-0.387833400598469	-0	-0.297947345387088	-0
156	0	-0.00360883376055713	0	0	0
157	0	-1.04213711856601	-0.204937080780086	-0.396755234805378	0
158	0	0.19840957239789	0	0	0
159	0	-0.837141723336432	-0	-0	0
160	0	-0.627893507888041	-1.08679463844073	-0.843067729574315	-0
161	0	-0.494375198463208	-0	-0	-0
162	0	0.803099029890415	0.416819509571809	0.427985564563299	0
163	0	-0.542544834744674	-0.112660403662746	-0	-0
164	0	0.138756550485433	0	0	0
165	0	0.256642227875127	0	-0	0
166	0	0.304611854049327	0	0.185263091154518	0
167	0	-0.387387092312891	-0	-0	0
168	0	-0.569458634328524	-0	-0.0906990305072188	0
169	0	0.425169071450662	0	0	0
170	0	0.88478515905878	0	0	0
171	0	-1.21757560328333	-0.877993839131204	-0.948032251507698	-0
172	0.999679520579276	1.60248884040394	0.4494333649113	0.195318279166971	1.00071652354911
173	0	0.31903443824439	0	0	0
174	0	1.1408581234467	1.33459670329357	1.45057061052866	0
175	0	-0.400797072840655	-0	-0	0
176	0	-0.261858612336011	-1.49515115430384	-1.16278081852159	0
177	0	0.955803776402035	0.182532597567331	0	-0.00467419516685297
178	0	0.108025951897304	0	0.402435932067661	0
179	0	0.0558805091844423	1.10268739237395	1.2447922899643	-0
180	0	0.286211746929628	0.165590828464124	0.799761948280999	0
181	0	-0.120689485414383	-0	-0	0
182	0	-0.613787368743037	-0.345946274957246	-0.297929074930238	0
183	0	0.992151095206908	1.76701409187074	0.867373176390107	0
184	0	1.11301265619445	0.793670729914956	1.06672296196488	0
185	0	1.4844706880512	1.2964796448058	1.36380651677656	-0
186	-1.09050158568771	-0.468626263168692	-0	-0.0878200268811646	-1.08525063602397
187	0	-0.859245334323557	-0	-0	-0
188	0	-1.75011322898098	-2.08446783829019	-1.80736676320013	0
189	0	-1.050679604816	-1.76562327606165	-1.36954365695043	-0
190	0	-0.0224515787066102	-0.596193471123691	-0.693152624624584	-0
191	0	-0.101273455672838	0	0	0
192	0	0.0831032688825992	0	0	-0
193	0	0.258859773803256	0	0.180657544809996	0
194	0	0.26824914038019	-0.0241913212093827	-0.442703200049648	0
195	0	-1.19616054754361	-0.475310580137235	-1.08631177254427	-0
